iter	MultiClass
0	1.027909835
1	0.9720256066
2	0.8931997295
3	0.8423603089
4	0.7935287575
5	0.7601548169
6	0.7252851738
7	0.6921380313
8	0.6516387984
9	0.6163809184
10	0.5910945275
11	0.5614470275
12	0.5378891597
13	0.5116338003
14	0.4908065947
15	0.4715433821
16	0.4534254964
17	0.4367013119
18	0.4149800256
19	0.3989682298
20	0.3860435673
21	0.3655784392
22	0.3473067089
23	0.335546893
24	0.3244819975
25	0.3128910316
26	0.3012638402
27	0.2916268254
28	0.2811082043
29	0.272977382
30	0.2637742123
31	0.2549528627
32	0.2475974098
33	0.2395265904
34	0.2341340411
35	0.2282438927
36	0.2207124373
37	0.212550033
38	0.207772146
39	0.2026333418
40	0.196933126
41	0.1921594898
42	0.1867281702
43	0.180896672
44	0.1776872774
45	0.1732056289
46	0.1698163751
47	0.1667476833
48	0.1636877219
49	0.1588398001
50	0.1554142674
51	0.1531386279
52	0.149763826
53	0.1468545075
54	0.1435502528
55	0.1408680298
56	0.1383991602
57	0.1347580793
58	0.132042527
59	0.1290389861
60	0.1267038124
61	0.1246668632
62	0.1213973069
63	0.1197261998
64	0.1172787103
65	0.1151476095
66	0.1126601603
67	0.1106043277
68	0.1084953279
69	0.1062369572
70	0.104351536
71	0.1027011127
72	0.1004588345
73	0.09886724722
74	0.09681899258
75	0.09487216313
76	0.09324957345
77	0.09177509563
78	0.09036361514
79	0.08911044188
80	0.08798607867
81	0.08696116847
82	0.0857197429
83	0.08392774177
84	0.0823700913
85	0.08140027006
86	0.07968497714
87	0.07864356407
88	0.07718429156
89	0.07595281746
90	0.07500118842
91	0.07396841899
92	0.07265872991
93	0.07180520327
94	0.07083685607
95	0.07001590307
96	0.0690062958
97	0.0681074322
98	0.06716856073
99	0.06657709959
100	0.06567858263
101	0.06485093069
102	0.0641711518
103	0.06337927277
104	0.06247415623
105	0.06163532106
106	0.06108362441
107	0.06024550254
108	0.05968236297
109	0.05906771475
110	0.05856138893
111	0.05786222651
112	0.05707015718
113	0.05632293581
114	0.05587668694
115	0.05541742208
116	0.05484655379
117	0.05421650541
118	0.05374365923
119	0.05290504393
120	0.05236162733
121	0.05178687241
122	0.05142783537
123	0.05085613502
124	0.05038255571
125	0.0498730865
126	0.049338178
127	0.0488818744
128	0.04846535534
129	0.04784871447
